Device Info:
Type:,Intel RealSense D435
HW Id:,0B07
Serial Num:,819112072284
Firmware Ver:,05.11.01.00

Streaming profile:
Stream,Format,Resolution,FPS
Depth,Z16,1280x720,30
Infrared 1,Y8,1280x720,30

Environment:
Plane-Fit_distance_mm,789,008667
Ground-Truth_Distance_mm,789

Sample Id,Frame #,Timestamp (ms),Fill-Rate %,Z Accuracy %,Plane Fit RMS Error %,Subpixel RMS Error (pixel),
0,55671,1864119.5978,99.8922,0.2112,2.5353,0.1172,
1,55905,1864440.6815,99.8528,0.1998,2.5045,0.1158,
2,55914,1864763.4056,99.8888,0.2141,2.5233,0.1170,
3,55923,1865091.5645,99.9003,0.2104,2.5928,0.1194,
4,55935,1865414.0575,99.8928,0.2200,2.5000,0.1155,
5,55944,1865741.0951,99.8928,0.2125,2.6377,0.1213,
6,55953,1866063.6537,99.8813,0.2018,2.3965,0.1111,
7,55962,1866378.1699,99.8596,0.1987,2.4480,0.1134,
8,55971,1866700.1719,99.8549,0.2164,2.5225,0.1170,
9,55983,1867028.1373,99.8773,0.2133,2.4149,0.1123,
10,55992,1867353.2060,99.8745,0.2198,2.5588,0.1185,
11,56001,1867673.6004,99.8501,0.2045,2.4057,0.1116,
12,56010,1867992.1044,99.8515,0.2014,2.4783,0.1148,
13,56022,1868314.5134,99.8515,0.2064,2.4790,0.1143,
14,56031,1868626.9637,99.8684,0.2054,2.3932,0.1110,
15,56041,1868943.1761,99.8895,0.2020,2.6367,0.1225,
16,56050,1869264.0999,99.8691,0.2132,2.3846,0.1103,
17,56059,1869584.2998,99.8718,0.2069,2.4187,0.1118,
18,56068,1869901.0272,99.8678,0.1993,2.5520,0.1181,
19,56078,1870219.2511,99.8549,0.2128,2.4760,0.1144,
20,56087,1870576.6823,99.8820,0.2196,2.4171,0.1112,
21,56099,1870922.1636,99.8840,0.2118,2.4798,0.1142,
22,56109,1871244.9975,99.8827,0.2035,2.4623,0.1143,
23,56118,1871564.4256,99.8705,0.2130,2.4587,0.1134,
24,56127,1871883.2305,99.8779,0.2058,2.5211,0.1165,
25,56136,1872204.2590,99.8664,0.2132,2.4956,0.1159,
26,56148,1872540.6140,99.8881,0.2121,2.4453,0.1131,
27,56158,1872867.6037,99.8705,0.2171,2.4874,0.1159,
28,56167,1873187.5558,99.8664,0.2190,2.4302,0.1128,
29,56176,1873503.9013,99.8501,0.2095,2.4287,0.1127,
30,56188,1873826.7512,99.8895,0.2151,2.3453,0.1093,
31,56196,1874159.4242,99.8671,0.1965,2.6014,0.1208,
32,56205,1874482.5245,99.8684,0.2191,2.5038,0.1165,
33,56214,1874804.0840,99.8732,0.2065,2.5236,0.1174,
34,56227,1875126.2022,99.8942,0.2201,2.6271,0.1211,
35,56236,1875466.3716,99.8779,0.2128,2.4906,0.1147,
36,56245,1875797.3562,99.8820,0.2071,2.4395,0.1123,
37,56254,1876121.2639,99.8915,0.2015,2.4314,0.1130,
38,56266,1876454.3070,99.8908,0.2025,2.4665,0.1144,
39,56275,1876774.1012,99.8745,0.2089,2.3518,0.1093,
40,56284,1877089.5370,99.8867,0.2113,2.6335,0.1223,
41,56293,1877412.5493,99.8637,0.2307,2.5113,0.1160,
42,56302,1877736.3757,99.8718,0.2085,2.4454,0.1134,
43,56312,1878057.6391,99.9003,0.2072,2.3659,0.1092,
44,56324,1878381.9183,99.8678,0.2201,2.5492,0.1171,
45,56333,1878702.0284,99.8813,0.2033,2.4171,0.1122,
46,56342,1879022.2036,99.9010,0.2067,2.4574,0.1140,
47,56351,1879365.7590,99.8840,0.2094,2.4774,0.1145,
48,56364,1879685.1235,99.8773,0.1969,2.4009,0.1111,
49,56372,1880008.1168,99.8569,0.2099,2.5548,0.1179,
50,56382,1880331.3537,99.8616,0.2196,2.6084,0.1211,
51,56391,1880657.2583,99.8596,0.2170,2.4939,0.1157,
52,56400,1880985.6390,99.8705,0.2216,2.4380,0.1124,
53,56412,1881311.7251,99.8854,0.2064,2.5142,0.1165,
54,56421,1881632.6147,99.8705,0.2008,2.3432,0.1083,
55,56430,1881953.9933,99.8691,0.2127,2.4728,0.1145,
56,56440,1882275.5763,99.8718,0.2169,2.3953,0.1106,
57,56449,1882594.7564,99.8874,0.2100,2.5332,0.1170,
58,56458,1882906.0513,99.8644,0.2137,2.4919,0.1151,
59,56470,1883225.5290,99.8610,0.2115,2.5613,0.1179,
