Device Info:
Type:,Intel RealSense D435
HW Id:,0B07
Serial Num:,819112072284
Firmware Ver:,05.11.01.00

Streaming profile:
Stream,Format,Resolution,FPS
Depth,Z16,1280x720,30
Infrared 1,Y8,1280x720,30

Environment:
Plane-Fit_distance_mm,793,686340
Ground-Truth_Distance_mm,789

Sample Id,Frame #,Timestamp (ms),Fill-Rate %,Z Accuracy %,Plane Fit RMS Error %,Subpixel RMS Error (pixel),
0,44462,1490506.6895,99.5388,0.8019,2.8753,0.1302,
1,44695,1490807.5092,99.5768,0.8168,2.9365,0.1350,
2,44705,1491100.5935,99.5361,0.7908,3.0329,0.1390,
3,44715,1491403.0578,99.4893,0.8106,3.1228,0.1446,
4,44724,1491704.7401,99.4765,0.8059,2.9546,0.1351,
5,44733,1492001.9340,99.5965,0.7934,3.0664,0.1399,
6,44741,1492305.9564,99.6101,0.7915,3.2571,0.1496,
7,44750,1492633.3968,99.5409,0.8133,2.8879,0.1314,
8,44761,1492931.6898,99.4900,0.8053,3.2031,0.1461,
9,44770,1493229.5661,99.5212,0.8027,3.0239,0.1390,
10,44779,1493523.3078,99.5449,0.7818,3.0119,0.1366,
11,44788,1493824.8889,99.5585,0.8009,3.1629,0.1442,
12,44797,1494120.9849,99.5789,0.7988,2.9719,0.1366,
13,44806,1494419.5998,99.4975,0.8001,3.0955,0.1430,
14,44815,1494744.4177,99.4954,0.8058,3.1917,0.1464,
15,44824,1495043.0991,99.5449,0.8121,3.0617,0.1408,
16,44833,1495340.2536,99.5789,0.7973,3.1429,0.1448,
17,44842,1495638.4540,99.5673,0.7966,2.9837,0.1365,
18,44851,1495940.0165,99.5327,0.8000,2.9818,0.1365,
19,44860,1496240.8273,99.6209,0.8170,3.0856,0.1421,
20,44869,1496546.2608,99.5768,0.6934,2.9068,0.1334,
21,44878,1496833.9488,99.5266,0.8142,3.1422,0.1437,
22,44888,1497129.2096,99.5660,0.7937,3.1705,0.1442,
