Device Info:
Type:,Intel RealSense D435
HW Id:,0B07
Serial Num:,819112072284
Firmware Ver:,05.11.01.00

Streaming profile:
Stream,Format,Resolution,FPS
Depth,Z16,1280x720,30
Infrared 1,Y8,1280x720,30

Environment:
Plane-Fit_distance_mm,788,694092
Ground-Truth_Distance_mm,789

Sample Id,Frame #,Timestamp (ms),Fill-Rate %,Z Accuracy %,Plane Fit RMS Error %,Subpixel RMS Error (pixel),
0,58064,1946149.2821,99.8752,0.2306,3.9212,0.0911,
1,58370,1946380.2222,99.8969,0.0997,3.9293,0.0910,
2,58377,1946609.4462,99.8454,0.2153,4.0178,0.0935,
3,58382,1946839.1538,99.8725,0.2059,3.8398,0.0890,
4,58390,1947082.3920,99.8779,0.2057,4.0170,0.0930,
5,58397,1947314.8496,99.8508,0.1016,4.0996,0.0958,
6,58404,1947542.2917,99.8888,0.2146,3.9735,0.0926,
7,58410,1947766.5218,99.8454,0.2224,3.8198,0.0893,
8,58416,1947992.0528,99.8616,0.2198,3.8593,0.0894,
9,58423,1948219.2912,99.8372,0.2106,3.9844,0.0924,
10,58429,1948443.5123,99.8535,0.2207,3.8029,0.0882,
11,58435,1948672.9706,99.8752,0.2173,3.8378,0.0892,
12,58442,1948915.5755,99.8671,0.0828,3.9358,0.0916,
13,58448,1949147.1267,99.8454,0.2106,4.0575,0.0944,
14,58456,1949377.2609,99.8806,0.2034,3.8141,0.0884,
15,58463,1949604.1480,99.8589,0.2068,4.0375,0.0941,
16,58470,1949829.6244,99.8996,0.2245,3.9791,0.0922,
17,58477,1950049.0702,99.8834,0.2099,4.0083,0.0926,
18,58482,1950279.5267,99.8671,0.2004,3.9496,0.0916,
19,58490,1950517.5962,99.8806,0.1047,3.9545,0.0918,
20,58497,1950745.0631,99.8264,0.2113,3.9321,0.0914,
21,58504,1950973.9725,99.8589,0.2068,3.7861,0.0877,
22,58512,1951202.9615,99.8779,0.2270,3.8996,0.0906,
23,58518,1951428.7978,99.8806,0.2249,3.8695,0.0896,
24,58524,1951654.7543,99.8372,0.2185,3.8924,0.0906,
25,58531,1951877.7731,99.8671,0.2071,3.9369,0.0918,
26,58539,1952101.8624,99.8644,0.2301,4.0524,0.0938,
27,58545,1952328.4617,99.8725,0.0836,3.9781,0.0924,
28,58552,1952562.3978,99.8725,0.2184,3.8674,0.0899,
29,58559,1952792.0556,99.8400,0.2044,4.0161,0.0928,
30,58565,1953030.0934,99.8128,0.2084,3.8357,0.0891,
31,58572,1953256.2589,99.8698,0.2125,4.0967,0.0952,
32,58579,1953485.2206,99.8508,0.2064,3.9996,0.0930,
33,58586,1953717.8545,99.8589,0.1038,4.0062,0.0930,
34,58593,1953941.0399,99.8508,0.2096,3.8839,0.0900,
35,58599,1954165.7596,99.8481,0.2308,3.8893,0.0907,
36,58607,1954394.4567,99.8535,0.2089,3.8456,0.0895,
37,58614,1954629.3078,99.8535,0.2017,3.8495,0.0894,
38,58620,1954857.2692,99.8725,0.2204,4.0744,0.0945,
39,58627,1955083.4608,99.8318,0.1002,4.1446,0.0962,
40,58635,1955310.6346,99.8400,0.2129,4.0908,0.0949,
41,58642,1955543.0924,99.8915,0.2013,3.7852,0.0880,
42,58648,1955767.0474,99.8779,0.2131,3.9894,0.0920,
43,58655,1955997.6979,99.8454,0.2024,4.0206,0.0932,
44,58662,1956238.1900,99.8345,0.0833,3.9385,0.0917,
45,58669,1956478.0552,99.8481,0.2198,3.7006,0.0861,
46,58676,1956705.6694,99.7694,0.1053,3.8992,0.0907,
47,58683,1956928.9674,99.8427,0.2050,3.8622,0.0899,
48,58690,1957156.0019,99.8861,0.0860,3.7749,0.0882,
49,58696,1957383.5599,99.8535,0.2095,4.0402,0.0940,
50,58703,1957614.7367,99.8698,0.2146,4.0092,0.0933,
51,58710,1957840.7463,99.8752,0.2072,3.9971,0.0925,
52,58717,1958065.5782,99.8318,0.2062,3.8143,0.0882,
53,58723,1958303.2414,99.8616,0.2124,3.9535,0.0911,
54,58730,1958544.2297,99.8644,0.2189,4.0028,0.0931,
55,58738,1958775.3678,99.8834,0.2105,4.0079,0.0928,
56,58744,1959013.8107,99.8427,0.2142,3.8677,0.0900,
57,58753,1959246.2384,99.8210,0.2121,3.9666,0.0920,
58,58759,1959494.9420,99.8291,0.0956,3.8842,0.0903,
59,58767,1959725.1780,99.8806,0.2193,3.9947,0.0927,
60,58775,1959952.0271,99.8698,0.2103,3.8238,0.0887,
61,58781,1960182.9690,99.8698,0.0956,4.1120,0.0952,
62,58788,1960427.1356,99.8508,0.2070,4.0708,0.0943,
63,58796,1960680.2914,99.8698,0.2307,3.9742,0.0924,
64,58803,1960913.5244,99.8535,0.2136,3.9146,0.0907,
65,58809,1961142.1230,99.8481,0.2168,3.9973,0.0921,
66,58816,1961367.4331,99.8345,0.2054,4.0857,0.0955,
67,58822,1961591.1234,99.8345,0.2116,3.9918,0.0930,
68,58829,1961813.6224,99.8535,0.2056,3.8322,0.0892,
69,58836,1962037.3330,99.8671,0.1000,4.0336,0.0943,
70,58843,1962265.1818,99.8752,0.2269,3.9579,0.0916,
71,58849,1962492.1065,99.8725,0.2092,4.1449,0.0965,
72,58857,1962715.6137,99.8806,0.2085,3.9462,0.0917,
73,58863,1962941.4383,99.8616,0.2151,3.9176,0.0913,
74,58870,1963166.4680,99.8996,0.2072,3.8944,0.0903,
75,58876,1963390.5562,99.8616,0.2195,3.8145,0.0887,
76,58883,1963624.7213,99.8725,0.2248,3.9487,0.0914,
77,58890,1963856.4007,99.8698,0.2249,3.9675,0.0921,
78,58897,1964088.5713,99.8400,0.2077,4.0106,0.0933,
79,58905,1964321.5485,99.8942,0.2087,4.1422,0.0959,
80,58912,1964567.2719,99.8318,0.0911,3.9156,0.0910,
81,58918,1964798.5427,99.8264,0.2208,4.0701,0.0944,
82,58926,1965030.3297,99.9078,0.2096,3.8676,0.0904,
83,58933,1965259.5696,99.8671,0.2042,4.1233,0.0951,
84,58940,1965497.7583,99.9023,0.2226,3.9866,0.0925,
85,58947,1965726.4722,99.8562,0.2012,4.0649,0.0950,
86,58953,1965961.6054,99.8969,0.2010,4.0572,0.0934,
87,58960,1966210.5233,99.8400,0.0969,3.7973,0.0882,
88,58968,1966436.7280,99.8861,0.2217,3.9833,0.0925,
89,58975,1966671.0157,99.9051,0.2120,3.7020,0.0859,
90,58982,1966900.6441,99.8400,0.2176,4.0451,0.0937,
91,58989,1967134.8640,99.8589,0.2041,3.9842,0.0925,
92,58995,1967363.1276,99.8372,0.2224,3.9152,0.0906,
93,59003,1967588.3912,99.8644,0.0914,4.1599,0.0965,
94,59010,1967818.5836,99.8454,0.1051,4.0767,0.0947,
95,59016,1968044.5491,99.8481,0.2191,3.9894,0.0930,
96,59022,1968272.7512,99.8861,0.1038,4.0419,0.0937,
97,59029,1968500.0677,99.9078,0.2178,3.7976,0.0881,
98,59037,1968721.3615,99.8291,0.2151,4.1048,0.0953,
99,59043,1968947.1338,99.8969,0.0973,4.0789,0.0946,
100,59050,1969172.5117,99.8427,0.2052,3.9551,0.0919,
101,59058,1969403.3846,99.8996,0.0970,3.8546,0.0892,
102,59064,1969631.8201,99.8752,0.2091,3.9544,0.0921,
103,59071,1969861.4070,99.8725,0.2072,3.9152,0.0907,
104,59077,1970097.7471,99.9051,0.2222,4.0139,0.0935,
105,59084,1970339.0375,99.8562,0.2213,3.9833,0.0925,
106,59093,1970569.8522,99.8861,0.2256,3.8875,0.0898,
107,59099,1970795.5983,99.8372,0.2155,4.0072,0.0925,
108,59105,1971028.1460,99.8888,0.2244,3.9110,0.0903,
109,59113,1971256.1456,99.8237,0.2036,3.7769,0.0876,
110,59119,1971489.1241,99.8671,0.2179,3.7472,0.0871,
111,59125,1971715.8300,99.8644,0.0941,3.7609,0.0869,
112,59134,1971944.3331,99.8427,0.0952,4.0677,0.0946,
113,59140,1972170.1913,99.8237,0.2170,3.9036,0.0905,
114,59147,1972402.1645,99.8725,0.0923,3.9763,0.0915,
115,59154,1972632.5678,99.8779,0.2197,4.1584,0.0969,
116,59160,1972858.2919,99.8264,0.2163,3.9049,0.0908,
117,59167,1973084.2193,99.8291,0.2214,3.8155,0.0883,
118,59175,1973316.2728,99.8562,0.2205,3.9973,0.0927,
119,59181,1973545.0347,99.8698,0.1046,3.9942,0.0927,
120,59188,1973772.3079,99.8535,0.2221,4.0051,0.0932,
121,59194,1974002.8284,99.8752,0.2143,3.9083,0.0903,
122,59202,1974230.0945,99.8372,0.2196,3.9144,0.0911,
123,59209,1974461.4333,99.8861,0.2072,4.0067,0.0931,
124,59215,1974704.0856,99.8562,0.0978,3.9025,0.0906,
125,59222,1974943.0842,99.8671,0.2144,4.0057,0.0927,
126,59230,1975177.7642,99.8644,0.2277,4.0268,0.0931,
127,59237,1975406.1891,99.8888,0.2202,3.9753,0.0924,
128,59244,1975637.9033,99.9078,0.2212,3.8929,0.0911,
129,59251,1975875.5814,99.8779,0.2237,3.9253,0.0913,
130,59258,1976105.8442,99.8481,0.1082,4.0109,0.0935,
131,59264,1976333.2786,99.8996,0.2124,3.9453,0.0916,
132,59272,1976559.0881,99.8996,0.2211,4.1832,0.0970,
133,59278,1976794.6380,99.8888,0.1128,4.0799,0.0950,
134,59286,1977026.6216,99.8535,0.2101,4.0675,0.0945,
135,59293,1977252.1955,99.9105,0.2208,3.8825,0.0900,
136,59299,1977475.0603,99.8644,0.1989,3.8062,0.0884,
