Device Info:
Type:,Intel RealSense D435
HW Id:,0B07
Serial Num:,819112072284
Firmware Ver:,05.11.01.00

Streaming profile:
Stream,Format,Resolution,FPS
Depth,Z16,1280x720,30
Infrared 1,Y8,1280x720,30

Environment:
Plane-Fit_distance_mm,304,820953
Ground-Truth_Distance_mm,303

Sample Id,Frame #,Timestamp (ms),Fill-Rate %,Z Accuracy %,Plane Fit RMS Error %,Subpixel RMS Error (pixel),
0,45164,1520830.3787,99.8300,0.6475,0.7898,0.0873,
1,45582,1521046.1801,99.8294,0.6424,0.7865,0.0872,
2,45588,1521259.7403,99.8152,0.6460,0.7704,0.0850,
3,45593,1521475.2045,99.8186,0.6432,0.7871,0.0868,
4,45598,1521694.0907,99.8233,0.6392,0.7837,0.0869,
5,45604,1521914.5679,99.8395,0.6395,0.7857,0.0867,
6,45611,1522135.1538,99.8374,0.6465,0.7790,0.0864,
7,45618,1522354.4690,99.8327,0.6431,0.7864,0.0869,
8,45624,1522572.7509,99.8442,0.6422,0.7740,0.0857,
9,45631,1522805.3903,99.8509,0.6419,0.7875,0.0872,
10,45637,1523036.3149,99.8489,0.6427,0.7942,0.0876,
11,45645,1523274.2824,99.8253,0.6446,0.7903,0.0877,
12,45650,1523517.3972,99.8294,0.6500,0.7774,0.0859,
13,45658,1523738.3206,99.8347,0.6460,0.7842,0.0866,
14,45665,1523957.1440,99.8246,0.6433,0.7831,0.0867,
15,45673,1524174.8778,99.8260,0.6491,0.7688,0.0850,
16,45679,1524403.6057,99.8172,0.6440,0.7649,0.0854,
17,45685,1524623.0710,99.8206,0.6446,0.7682,0.0851,
18,45691,1524839.3152,99.8145,0.6469,0.7734,0.0856,
19,45699,1525054.5591,99.8422,0.6450,0.7812,0.0868,
20,45706,1525280.0271,99.8125,0.6420,0.7668,0.0851,
21,45712,1525500.4092,99.8260,0.6419,0.7821,0.0864,
22,45719,1525736.8122,99.8253,0.6474,0.7656,0.0843,
23,45725,1525971.8856,99.8199,0.6477,0.7872,0.0869,
24,45733,1526190.1670,99.8199,0.6486,0.7775,0.0861,
25,45739,1526414.5456,99.8186,0.6443,0.7881,0.0876,
26,45745,1526631.3517,99.8307,0.6430,0.7942,0.0880,
27,45753,1526848.7037,99.8246,0.6392,0.7840,0.0870,
28,45759,1527064.9959,99.8476,0.6391,0.7924,0.0880,
29,45766,1527283.8462,99.8415,0.6430,0.7874,0.0872,
