Device Info:
Type:,Intel RealSense D435
HW Id:,0B07
Serial Num:,819112072284
Firmware Ver:,05.11.01.00

Streaming profile:
Stream,Format,Resolution,FPS
Depth,Z16,1280x720,30
Infrared 1,Y8,1280x720,30

Environment:
Plane-Fit_distance_mm,303,612640
Ground-Truth_Distance_mm,303

Sample Id,Frame #,Timestamp (ms),Fill-Rate %,Z Accuracy %,Plane Fit RMS Error %,Subpixel RMS Error (pixel),
0,36229,1233325.3549,99.4473,0.7001,1.2145,0.2890,
1,36953,1233670.2417,99.4603,0.7502,1.3127,0.3157,
2,36965,1234009.3516,99.4736,0.7482,1.3128,0.3157,
3,36974,1234349.4238,99.5041,0.7687,1.3392,0.3244,
4,36986,1234684.7855,99.4779,0.7688,1.3518,0.3263,
5,36994,1235012.0342,99.4868,0.7418,1.2805,0.3091,
6,37003,1235339.9812,99.4953,0.7670,1.3458,0.3247,
7,37014,1235667.2176,99.5037,0.7309,1.2663,0.3038,
8,37023,1236004.2386,99.4919,0.7291,1.2668,0.3037,
9,37034,1236343.3460,99.4693,0.7510,1.3178,0.3174,
10,37043,1236678.0751,99.4643,0.7419,1.2975,0.3122,
11,37054,1237010.4450,99.4295,0.7264,1.2660,0.3027,
12,37065,1237339.8084,99.4530,0.7189,1.2509,0.2996,
13,37074,1237672.2285,99.4280,0.6959,1.2027,0.2855,
14,37085,1238011.3525,99.4491,0.7240,1.2629,0.3023,
15,37094,1238343.4282,99.4402,0.7202,1.2513,0.3003,
16,37103,1238678.5998,99.4583,0.7113,1.2292,0.2935,
17,37114,1239011.2965,99.4451,0.7314,1.2861,0.3071,
18,37126,1239339.9026,99.4380,0.7139,1.2429,0.2977,
19,37134,1239670.6613,99.4633,0.7214,1.2553,0.3001,
20,37143,1240002.8814,99.4488,0.7116,1.2419,0.2954,
21,37154,1240335.4723,99.4596,0.7306,1.2710,0.3058,
22,37163,1240671.3495,99.4321,0.7055,1.2226,0.2916,
23,37174,1241002.4249,99.4714,0.7276,1.2667,0.3029,
24,37183,1241337.0728,99.4550,0.7234,1.2658,0.3024,
25,37194,1241669.6779,99.4319,0.7144,1.2417,0.2966,
26,37203,1242005.6477,99.4353,0.7163,1.2389,0.2969,
27,37215,1242337.2408,99.4256,0.7062,1.2262,0.2923,
28,37223,1242663.0128,99.4327,0.7137,1.2429,0.2953,
29,37234,1242994.3023,99.4599,0.7175,1.2509,0.2990,
30,37243,1243339.2418,99.4547,0.7042,1.2151,0.2895,
31,37254,1243670.7180,99.4552,0.7085,1.2369,0.2939,
32,37263,1243999.1123,99.4677,0.6990,1.2137,0.2878,
33,37275,1244328.7558,99.4468,0.7028,1.2162,0.2894,
34,37283,1244655.7402,99.4615,0.7051,1.2130,0.2894,
35,37292,1244984.0429,99.4571,0.7120,1.2400,0.2961,
36,37304,1245310.2853,99.4604,0.7053,1.2172,0.2903,
37,37313,1245632.9119,99.4363,0.6984,1.2124,0.2887,
38,37324,1245961.2229,99.4427,0.7113,1.2415,0.2959,
39,37333,1246290.1360,99.4129,0.7265,1.2650,0.3036,
40,37341,1246616.6029,99.4395,0.6861,1.1830,0.2802,
41,37353,1246942.5524,99.4417,0.7088,1.2246,0.2922,
42,37362,1247268.4274,99.4594,0.7364,1.2943,0.3107,
43,37373,1247605.2409,99.4544,0.7107,1.2362,0.2950,
44,37382,1247933.2634,99.4752,0.7094,1.2402,0.2954,
45,37391,1248260.9500,99.4496,0.7134,1.2472,0.2965,
46,37402,1248592.4138,99.4571,0.7156,1.2422,0.2974,
47,37411,1248917.5754,99.4439,0.7240,1.2645,0.3032,
48,37420,1249245.1029,99.4498,0.7448,1.3062,0.3152,
49,37432,1249579.2390,99.4578,0.7196,1.2630,0.3020,
50,37440,1249911.4189,99.4397,0.7078,1.2293,0.2933,
51,37452,1250243.5852,99.4506,0.7086,1.2353,0.2939,
52,37461,1250570.5190,99.4429,0.7112,1.2327,0.2949,
53,37470,1250902.2639,99.4425,0.7099,1.2335,0.2948,
54,37481,1251231.1794,99.4216,0.6949,1.1997,0.2838,
55,37490,1251556.6914,99.4454,0.7219,1.2509,0.3000,
56,37501,1251884.1458,99.4544,0.7179,1.2502,0.2988,
57,37510,1252218.4647,99.4769,0.7391,1.2993,0.3120,
58,37522,1252548.3660,99.4415,0.7161,1.2469,0.2970,
59,37530,1252870.7989,99.4532,0.7129,1.2338,0.2951,
60,37539,1253199.4017,99.4113,0.7224,1.2601,0.3015,
61,37550,1253527.7272,99.4486,0.7145,1.2588,0.2996,
62,37559,1253853.8922,99.4305,0.6986,1.2051,0.2864,
63,37570,1254180.7419,99.4785,0.7180,1.2456,0.2981,
