Device Info:
Type:,Intel RealSense D435
HW Id:,0B07
Serial Num:,819112072284
Firmware Ver:,05.11.01.00

Streaming profile:
Stream,Format,Resolution,FPS
Depth,Z16,1280x720,30
Infrared 1,Y8,1280x720,30

Environment:
Plane-Fit_distance_mm,304,329254
Ground-Truth_Distance_mm,303

Sample Id,Frame #,Timestamp (ms),Fill-Rate %,Z Accuracy %,Plane Fit RMS Error %,Subpixel RMS Error (pixel),
0,33699,1137659.8750,99.9170,0.6178,0.8295,0.0931,
1,34089,1137878.7419,99.9258,0.6176,0.8302,0.0932,
2,34095,1138096.8406,99.9191,0.6171,0.8309,0.0933,
3,34101,1138316.4170,99.9265,0.6167,0.8311,0.0933,
4,34107,1138535.9808,99.9265,0.6167,0.8323,0.0933,
5,34113,1138753.3288,99.9413,0.6157,0.8343,0.0936,
6,34119,1138972.0095,99.9231,0.6158,0.8345,0.0936,
7,34124,1139193.6633,99.9319,0.6156,0.8361,0.0938,
8,34131,1139415.9785,99.9339,0.6152,0.8369,0.0938,
9,34138,1139637.4693,99.9346,0.6150,0.8368,0.0937,
10,34143,1139854.7871,99.9440,0.6153,0.8376,0.0939,
11,34150,1140076.0128,99.9339,0.6151,0.8386,0.0940,
12,34156,1140297.4861,99.9339,0.6147,0.8382,0.0939,
13,34163,1140518.9138,99.9352,0.6144,0.8379,0.0939,
14,34170,1140737.7548,99.9292,0.6142,0.8376,0.0939,
15,34175,1140953.7070,99.9251,0.6139,0.8378,0.0940,
16,34183,1141173.2772,99.9231,0.6139,0.8377,0.0939,
17,34189,1141393.7901,99.9184,0.6136,0.8380,0.0940,
18,34196,1141617.5817,99.9191,0.6134,0.8384,0.0939,
19,34203,1141835.2332,99.9224,0.6132,0.8386,0.0940,
20,34209,1142065.8522,99.9170,0.6131,0.8385,0.0940,
21,34216,1142284.4445,99.9211,0.6128,0.8384,0.0940,
22,34223,1142498.9820,99.9211,0.6127,0.8387,0.0940,
23,34229,1142716.2186,99.9204,0.6127,0.8386,0.0940,
24,34236,1142942.4195,99.9143,0.6127,0.8386,0.0940,
25,34243,1143163.7248,99.9191,0.6127,0.8391,0.0941,
26,34250,1143390.8899,99.9245,0.6127,0.8390,0.0940,
27,34256,1143612.1319,99.9157,0.6125,0.8394,0.0940,
28,34262,1143839.9233,99.9184,0.6124,0.8393,0.0941,
29,34270,1144060.0343,99.9157,0.6123,0.8386,0.0940,
30,34276,1144280.9261,99.9204,0.6123,0.8393,0.0941,
31,34283,1144501.0348,99.9258,0.6124,0.8397,0.0941,
32,34288,1144725.1366,99.9218,0.6122,0.8394,0.0940,
33,34296,1144949.7977,99.9204,0.6122,0.8393,0.0940,
34,34303,1145166.2546,99.9184,0.6121,0.8398,0.0941,
35,34309,1145390.2420,99.9130,0.6120,0.8404,0.0941,
36,34316,1145619.4424,99.9204,0.6119,0.8404,0.0941,
37,34323,1145846.3355,99.9184,0.6119,0.8407,0.0941,
38,34329,1146074.8470,99.9150,0.6118,0.8404,0.0942,
39,34337,1146293.6003,99.9211,0.6116,0.8404,0.0942,
40,34344,1146513.4899,99.9083,0.6117,0.8410,0.0942,
41,34349,1146731.3124,99.9211,0.6116,0.8405,0.0941,
42,34357,1146950.4456,99.9083,0.6115,0.8405,0.0941,
43,34362,1147173.2134,99.9251,0.6115,0.8409,0.0942,
44,34370,1147399.5506,99.9258,0.6115,0.8410,0.0942,
45,34376,1147625.8874,99.9177,0.6114,0.8410,0.0942,
46,34383,1147868.5477,99.9191,0.6115,0.8413,0.0942,
47,34389,1148088.5597,99.9069,0.6116,0.8408,0.0943,
48,34397,1148310.9391,99.9218,0.6116,0.8411,0.0942,
49,34404,1148541.8572,99.9137,0.6116,0.8409,0.0943,
50,34410,1148767.7648,99.9204,0.6115,0.8412,0.0942,
51,34417,1148990.8465,99.9191,0.6116,0.8412,0.0942,
52,34424,1149210.2082,99.9170,0.6115,0.8414,0.0942,
53,34430,1149427.8975,99.9245,0.6114,0.8403,0.0943,
54,34438,1149647.2409,99.9150,0.6110,0.8405,0.0941,
55,34444,1149864.4337,99.9191,0.6112,0.8404,0.0942,
56,34450,1150081.1261,99.9170,0.6111,0.8404,0.0943,
57,34457,1150299.1764,99.9204,0.6110,0.8402,0.0942,
58,34463,1150524.4779,99.9123,0.6110,0.8407,0.0942,
59,34470,1150744.3957,99.9191,0.6109,0.8400,0.0941,
60,34477,1150961.3125,99.9231,0.6108,0.8402,0.0942,
61,34483,1151181.8279,99.9177,0.6107,0.8401,0.0942,
62,34490,1151403.9537,99.9123,0.6107,0.8399,0.0942,
63,34495,1151662.5773,99.9218,0.6107,0.8406,0.0942,
64,34504,1151882.5458,99.9137,0.6105,0.8404,0.0942,
65,34512,1152101.9602,99.9218,0.6104,0.8407,0.0942,
66,34518,1152322.8709,99.9258,0.6105,0.8399,0.0942,
67,34524,1152545.4432,99.9157,0.6105,0.8402,0.0942,
68,34531,1152759.3716,99.9285,0.6104,0.8402,0.0942,
69,34537,1152979.3767,99.9130,0.6104,0.8404,0.0942,
70,34544,1153212.7955,99.9184,0.6105,0.8403,0.0942,
71,34551,1153441.5162,99.9238,0.6105,0.8402,0.0943,
72,34558,1153664.9340,99.9157,0.6105,0.8407,0.0942,
73,34564,1153883.0063,99.9191,0.6104,0.8408,0.0942,
74,34570,1154101.5932,99.9170,0.6106,0.8406,0.0942,
75,34577,1154322.0746,99.9116,0.6104,0.8408,0.0943,
76,34583,1154542.0295,99.9238,0.6103,0.8414,0.0943,
77,34590,1154759.1578,99.9184,0.6103,0.8407,0.0942,
78,34597,1154977.9350,99.9164,0.6103,0.8407,0.0942,
79,34604,1155203.5398,99.9137,0.6103,0.8413,0.0942,
80,34610,1155422.3893,99.9130,0.6102,0.8408,0.0943,
81,34617,1155639.9733,99.9204,0.6102,0.8408,0.0942,
82,34623,1155856.7830,99.9224,0.6102,0.8410,0.0942,
83,34630,1156074.5866,99.9143,0.6102,0.8407,0.0942,
84,34636,1156305.7015,99.9184,0.6102,0.8413,0.0943,
85,34643,1156539.8897,99.9083,0.6102,0.8411,0.0943,
86,34650,1156759.9867,99.9076,0.6102,0.8413,0.0943,
87,34657,1156977.1771,99.9197,0.6102,0.8407,0.0943,
88,34664,1157193.3213,99.9177,0.6101,0.8411,0.0943,
89,34670,1157417.6527,99.9069,0.6102,0.8411,0.0942,
90,34676,1157635.7941,99.9150,0.6102,0.8407,0.0943,
91,34683,1157854.9333,99.9184,0.6102,0.8410,0.0943,
92,34690,1158078.3844,99.9170,0.6102,0.8413,0.0943,
