Device Info:
Type:,Intel RealSense D435
HW Id:,0B07
Serial Num:,819112072284
Firmware Ver:,05.11.01.00

Streaming profile:
Stream,Format,Resolution,FPS
Depth,Z16,1280x720,30
Infrared 1,Y8,1280x720,30

Environment:
Plane-Fit_distance_mm,302,872162
Ground-Truth_Distance_mm,303

Sample Id,Frame #,Timestamp (ms),Fill-Rate %,Z Accuracy %,Plane Fit RMS Error %,Subpixel RMS Error (pixel),
0,20503,704152.6146,99.3289,0.5091,1.4164,0.3473,
1,21079,704491.5033,99.3342,0.5294,1.4641,0.3599,
2,21091,704828.1805,99.3714,0.5163,1.4278,0.3497,
3,21099,705169.2503,99.3412,0.5255,1.4459,0.3554,
4,21108,705503.4902,99.3661,0.5372,1.4741,0.3634,
5,21120,705846.7965,99.3494,0.5217,1.4406,0.3543,
6,21129,706182.5028,99.3516,0.5309,1.4542,0.3589,
7,21141,706514.2461,99.3372,0.5209,1.4325,0.3523,
8,21149,706847.9618,99.3272,0.5225,1.4418,0.3558,
9,21161,707186.8622,99.3478,0.5297,1.4572,0.3602,
10,21169,707529.2777,99.3210,0.5330,1.4596,0.3598,
11,21181,707869.2837,99.3600,0.5181,1.4337,0.3515,
12,21190,708205.9716,99.3695,0.5230,1.4444,0.3549,
13,21199,708551.8377,99.3385,0.5263,1.4561,0.3580,
14,21211,708887.7527,99.3582,0.5316,1.4684,0.3614,
15,21220,709223.2523,99.3316,0.5224,1.4461,0.3548,
16,21232,709552.6909,99.3644,0.5348,1.4719,0.3624,
17,21242,709885.6418,99.4006,0.5301,1.4572,0.3593,
18,21252,710222.7026,99.4018,0.5222,1.4446,0.3552,
19,21260,710575.3675,99.3815,0.5297,1.4668,0.3614,
20,21273,710915.3542,99.3962,0.5320,1.4674,0.3617,
21,21282,711256.6072,99.3984,0.5254,1.4500,0.3571,
22,21291,711592.0479,99.3588,0.5366,1.4854,0.3662,
23,21303,711923.4350,99.3686,0.5288,1.4648,0.3598,
24,21313,712255.7429,99.3621,0.5281,1.4556,0.3579,
25,21322,712602.2885,99.3844,0.5342,1.4756,0.3626,
26,21331,712940.0032,99.3534,0.5300,1.4711,0.3611,
27,21341,713274.6574,99.3715,0.5370,1.4722,0.3647,
28,21353,713613.3397,99.3649,0.5394,1.4825,0.3664,
29,21362,713951.7285,99.3651,0.5449,1.4876,0.3691,
30,21374,714288.2455,99.3829,0.5433,1.4908,0.3685,
31,21383,714628.9462,99.3480,0.5326,1.4703,0.3632,
32,21392,714965.2877,99.4047,0.5329,1.4648,0.3618,
33,21404,715305.5813,99.4285,0.5142,1.4191,0.3486,
34,21413,715648.8688,99.3734,0.5284,1.4550,0.3594,
35,21425,715994.2363,99.3950,0.5323,1.4591,0.3606,
36,21434,716347.8380,99.3526,0.5309,1.4706,0.3618,
37,21446,716694.1129,99.3516,0.5330,1.4692,0.3625,
38,21455,717027.1314,99.3862,0.5239,1.4502,0.3567,
39,21467,717366.4459,99.3761,0.5261,1.4615,0.3595,
40,21475,717700.9920,99.3986,0.5162,1.4267,0.3512,
41,21484,718036.7181,99.3558,0.5149,1.4281,0.3494,
42,21496,718380.9633,99.3736,0.5258,1.4633,0.3588,
43,21505,718720.8578,99.3901,0.5203,1.4385,0.3530,
44,21517,719066.3101,99.3323,0.5306,1.4472,0.3568,
45,21526,719404.5247,99.3583,0.5344,1.4604,0.3589,
46,21537,719744.5289,99.3592,0.5409,1.4784,0.3657,
47,21546,720086.4633,99.4016,0.5253,1.4458,0.3559,
48,21558,720432.1425,99.3861,0.5368,1.4684,0.3616,
49,21567,720771.9109,99.3619,0.5311,1.4588,0.3597,
50,21576,721111.9428,99.3779,0.5346,1.4601,0.3608,
51,21588,721465.7211,99.3527,0.5269,1.4435,0.3560,
52,21597,721818.0537,99.3668,0.5393,1.4717,0.3637,
53,21609,722154.6388,99.3670,0.5271,1.4455,0.3562,
54,21618,722488.2448,99.3839,0.5224,1.4317,0.3520,
55,21629,722815.8687,99.3830,0.5287,1.4528,0.3580,
56,21638,723178.5561,99.3637,0.5361,1.4697,0.3632,
57,21650,723530.5296,99.3784,0.5230,1.4374,0.3535,
58,21659,723854.5504,99.3857,0.5204,1.4283,0.3512,
59,21671,724187.6462,99.3754,0.5318,1.4551,0.3596,
60,21680,724535.2026,99.3962,0.5407,1.4775,0.3657,
61,21689,724872.4679,99.3714,0.5372,1.4705,0.3633,
