Device Info:
Type:,Intel RealSense D435
HW Id:,0B07
Serial Num:,819112072284
Firmware Ver:,05.11.01.00

Streaming profile:
Stream,Format,Resolution,FPS
Depth,Z16,1280x720,30
Infrared 1,Y8,1280x720,30

Environment:
Plane-Fit_distance_mm,2607,156250
Ground-Truth_Distance_mm,2575

Sample Id,Frame #,Timestamp (ms),Fill-Rate %,Z Accuracy %,Plane Fit RMS Error %,Subpixel RMS Error (pixel),
0,30542,1042724.1535,99.9763,1.2152,36.6160,0.1555,
1,31256,1043079.5971,100.0000,1.2261,36.4985,0.1551,
2,31269,1043426.8261,100.0000,1.2923,34.6429,0.1476,
3,31278,1043782.4600,100.0000,1.2459,34.9979,0.1488,
4,31287,1044123.2977,99.9925,1.2692,34.1023,0.1446,
5,31299,1044463.9146,99.9878,1.1624,35.4639,0.1504,
6,31308,1044808.4123,99.9953,1.1576,35.8070,0.1527,
7,31320,1045149.8561,100.0000,1.2580,37.2380,0.1578,
8,31329,1045491.8473,100.0000,1.1360,35.1995,0.1503,
9,31341,1045833.6321,100.0000,1.3544,36.5042,0.1549,
10,31350,1046177.7680,99.9702,1.2556,34.1898,0.1457,
11,31359,1046520.9806,100.0000,1.3558,36.6817,0.1546,
12,31371,1046862.8228,100.0000,1.0812,36.9430,0.1567,
13,31380,1047206.9130,99.9702,1.2373,34.4983,0.1464,
14,31392,1047554.7117,99.9953,1.1225,36.1701,0.1534,
15,31401,1047902.4059,100.0000,1.3756,32.5755,0.1386,
16,31413,1048245.0834,99.9932,1.3786,33.8443,0.1425,
17,31423,1048586.0346,99.9946,1.4513,36.5995,0.1556,
18,31432,1048936.3768,100.0000,1.1256,37.4374,0.1593,
19,31444,1049293.0911,100.0000,1.3173,34.6533,0.1464,
20,31453,1049647.9345,99.9736,1.2736,36.5773,0.1555,
21,31465,1050001.1938,100.0000,1.2169,34.9651,0.1484,
22,31474,1050354.6211,100.0000,1.2151,34.9482,0.1482,
23,31487,1050708.6153,100.0000,1.1626,38.1061,0.1629,
24,31496,1051064.2201,99.9966,1.2311,37.4054,0.1587,
25,31508,1051422.1053,99.9925,1.2238,36.4244,0.1567,
26,31517,1051766.3376,99.9776,1.2629,37.7474,0.1594,
27,31526,1052108.6913,100.0000,1.3080,35.0051,0.1500,
28,31539,1052449.2003,99.9715,1.1571,35.1546,0.1500,
29,31548,1052793.5132,99.9715,1.3107,35.7404,0.1502,
30,31559,1053143.5130,99.9966,1.2532,34.9411,0.1480,
31,31568,1053492.8329,99.9932,1.4307,34.7614,0.1460,
32,31580,1053835.4597,99.9980,1.1715,36.3869,0.1540,
33,31589,1054179.3457,99.9986,1.2317,34.7148,0.1493,
34,31601,1054521.9415,100.0000,1.2643,35.3924,0.1498,
35,31610,1054877.6310,100.0000,1.2348,34.0119,0.1447,
36,31620,1055224.2153,99.9851,1.1107,35.7151,0.1528,
37,31632,1055565.0294,100.0000,1.2844,36.0139,0.1541,
38,31641,1055916.2480,100.0000,1.1934,34.5452,0.1473,
39,31653,1056264.2099,100.0000,1.3678,34.6521,0.1462,
40,31664,1056613.7203,100.0000,1.3226,36.8128,0.1571,
41,31673,1056957.1663,100.0000,1.2058,33.8531,0.1434,
42,31683,1057309.4455,99.9946,1.1027,35.8359,0.1521,
43,31695,1057651.9219,99.9986,1.3270,33.9683,0.1440,
44,31704,1057999.1950,99.9959,1.3842,34.1315,0.1431,
45,31715,1058349.7159,100.0000,1.1686,34.5238,0.1462,
46,31724,1058693.1175,100.0000,1.0255,36.8766,0.1572,
47,31736,1059037.2134,100.0000,1.3320,35.2215,0.1485,
48,31745,1059374.5506,100.0000,1.2773,33.9857,0.1433,
49,31757,1059716.0203,100.0000,1.2233,34.8662,0.1486,
50,31767,1060055.3378,99.9993,1.0713,36.2410,0.1548,
51,31776,1060406.6254,100.0000,1.1767,36.2680,0.1541,
52,31788,1060757.1872,100.0000,1.1820,36.7043,0.1566,
53,31798,1061105.2521,99.9959,1.0474,35.9960,0.1529,
54,31810,1061445.2752,99.9803,1.3692,32.6977,0.1388,
55,31818,1061791.6149,100.0000,1.2075,36.4639,0.1556,
56,31830,1062141.4884,99.9932,1.2121,35.4700,0.1503,
57,31839,1062490.1882,100.0000,1.2800,34.1279,0.1447,
58,31851,1062838.0982,99.9722,1.3025,35.1191,0.1499,
59,31860,1063186.9478,100.0000,1.3448,35.0449,0.1489,
60,31872,1063537.5681,99.9966,1.2056,34.1865,0.1461,
61,31881,1063887.5062,99.9939,1.0869,36.1191,0.1535,
62,31893,1064235.1399,99.9946,1.1351,33.1826,0.1410,
63,31902,1064576.1658,99.9986,1.3414,34.5632,0.1462,
64,31914,1064920.0198,99.9878,1.2200,33.4756,0.1429,
65,31923,1065266.8197,99.9959,1.3596,34.0172,0.1436,
66,31932,1065616.0697,100.0000,1.2686,35.9943,0.1528,
67,31944,1065969.2484,100.0000,1.1082,34.4007,0.1461,
68,31953,1066311.1243,99.9946,1.2586,32.7317,0.1383,
69,31965,1066660.3846,99.9986,1.1408,33.8889,0.1448,
70,31974,1067011.5833,100.0000,1.2090,34.0032,0.1445,
71,31986,1067354.8714,99.9980,1.3903,33.7237,0.1434,
72,31995,1067718.5133,99.9953,1.3605,35.7063,0.1510,
73,32007,1068069.2960,100.0000,1.0794,36.8367,0.1565,
74,32016,1068425.1484,100.0000,1.3088,35.2054,0.1500,
75,32029,1068777.9687,99.9986,1.3092,34.3477,0.1465,
76,32038,1069130.2087,99.9993,1.2056,37.5082,0.1609,
