Device Info:
Type:,Intel RealSense D435
HW Id:,0B07
Serial Num:,819112072284
Firmware Ver:,05.11.01.00

Streaming profile:
Stream,Format,Resolution,FPS
Depth,Z16,1280x720,30
Infrared 1,Y8,1280x720,30

Environment:
Plane-Fit_distance_mm,2605,026611
Ground-Truth_Distance_mm,2575

Sample Id,Frame #,Timestamp (ms),Fill-Rate %,Z Accuracy %,Plane Fit RMS Error %,Subpixel RMS Error (pixel),
0,24466,823594.7378,100.0000,1.1172,38.2602,0.1635,
1,24683,823943.1934,99.9980,1.1054,35.7227,0.1523,
2,24695,824293.3833,99.9986,1.0769,37.6417,0.1605,
3,24704,824638.2958,100.0000,1.0214,36.3197,0.1539,
4,24716,824978.6876,100.0000,1.1934,37.0705,0.1573,
5,24725,825325.1488,100.0000,1.1312,38.3814,0.1634,
6,24737,825666.7811,99.9498,1.1071,37.9207,0.1614,
7,24746,826006.0033,99.9993,1.0115,36.8625,0.1565,
8,24755,826347.3651,100.0000,1.1184,37.6468,0.1608,
9,24767,826689.2945,100.0000,1.0327,37.0845,0.1585,
10,24775,827033.5563,100.0000,1.1531,37.2696,0.1585,
11,24787,827374.2431,100.0000,1.0897,37.6338,0.1605,
12,24796,827717.0014,99.9471,1.2157,37.5636,0.1605,
13,24808,828058.8274,99.9702,1.1010,36.1659,0.1544,
14,24817,828405.0338,99.9756,1.2050,34.7337,0.1473,
15,24826,828750.0562,100.0000,1.1454,37.1737,0.1571,
16,24838,829094.9885,100.0000,1.1464,39.6017,0.1678,
17,24847,829442.0163,100.0000,1.2144,36.3951,0.1549,
18,24859,829788.0827,100.0000,1.1281,39.0317,0.1652,
19,24868,830131.9091,99.9986,1.0420,36.9912,0.1580,
20,24880,830475.4264,99.9946,1.1344,39.8980,0.1710,
21,24889,830816.6198,99.9973,1.2639,37.4726,0.1584,
22,24901,831157.6467,100.0000,1.2549,38.9492,0.1659,
23,24910,831499.2222,99.9986,0.9905,38.1387,0.1629,
24,24919,831839.1099,99.9892,1.0326,37.5645,0.1594,
25,24931,832179.3651,99.9824,1.3389,36.7167,0.1530,
26,24940,832520.0405,99.9756,1.2238,38.0400,0.1617,
27,24952,832864.7535,100.0000,1.1859,34.9450,0.1489,
28,24961,833211.4465,99.9797,0.9547,37.0273,0.1584,
29,24973,833559.8219,99.9919,1.1898,38.6141,0.1640,
30,24982,833900.8136,100.0000,1.0901,37.4207,0.1590,
31,24991,834243.1835,100.0000,1.2028,37.5075,0.1595,
32,25003,834581.3394,99.9776,1.1418,37.1618,0.1586,
33,25012,834919.7813,99.9892,1.1257,37.6730,0.1591,
34,25024,835257.1461,100.0000,1.1694,36.0251,0.1540,
35,25033,835598.2196,99.9607,1.0544,39.2686,0.1671,
36,25045,835938.1079,100.0000,0.9697,38.6796,0.1652,
37,25054,836280.0714,100.0000,1.1518,38.0588,0.1612,
