Device Info:
Type:,Intel RealSense D435
HW Id:,0B07
Serial Num:,819112072284
Firmware Ver:,05.11.01.00

Streaming profile:
Stream,Format,Resolution,FPS
Depth,Z16,1280x720,30
Infrared 1,Y8,1280x720,30

Environment:
Plane-Fit_distance_mm,2611,648926
Ground-Truth_Distance_mm,2575

Sample Id,Frame #,Timestamp (ms),Fill-Rate %,Z Accuracy %,Plane Fit RMS Error %,Subpixel RMS Error (pixel),
0,40151,1346489.9638,100.0000,1.2421,37.0361,0.0786,
1,40374,1346709.2316,99.9946,1.5542,36.7837,0.0779,
2,40378,1346929.1317,99.9973,1.4795,37.8361,0.0800,
3,40383,1347148.3528,99.9919,1.4421,36.4867,0.0778,
4,40390,1347371.7755,99.9973,1.4704,36.6746,0.0768,
5,40396,1347601.5295,99.9892,1.4012,35.8548,0.0756,
6,40403,1347824.8798,100.0000,1.3347,34.2763,0.0730,
7,40411,1348048.6877,99.9756,1.4277,37.0885,0.0784,
8,40417,1348270.6448,100.0000,1.4344,38.0302,0.0802,
9,40423,1348503.2133,100.0000,1.4961,37.6569,0.0798,
10,40430,1348741.7166,100.0000,1.1989,38.2904,0.0817,
11,40437,1348977.4842,100.0000,1.4551,37.4106,0.0791,
12,40444,1349196.8070,100.0000,1.5603,35.6215,0.0746,
13,40451,1349414.8558,99.9919,1.4409,36.8164,0.0781,
14,40459,1349634.1081,100.0000,1.1316,37.9580,0.0807,
15,40465,1349855.6144,100.0000,1.2543,36.4451,0.0779,
16,40470,1350075.6042,99.9892,1.3318,38.1527,0.0812,
17,40476,1350292.7888,99.9946,1.4517,36.3670,0.0765,
18,40484,1350511.3677,99.9919,1.3393,35.8773,0.0762,
19,40491,1350732.3092,100.0000,1.4379,37.8360,0.0794,
20,40497,1350951.8277,100.0000,1.3844,36.4916,0.0770,
21,40504,1351172.1007,100.0000,1.5398,36.2542,0.0767,
22,40510,1351390.2600,100.0000,1.4046,37.3561,0.0788,
23,40517,1351612.2237,100.0000,1.4359,36.0994,0.0758,
24,40524,1351831.4616,99.9973,1.4400,36.2667,0.0769,
25,40531,1352048.6110,100.0000,1.2679,36.9429,0.0779,
26,40537,1352267.7324,100.0000,1.3678,38.7791,0.0828,
27,40543,1352490.0066,99.9837,1.4229,37.5724,0.0799,
28,40549,1352705.0692,99.9756,1.3765,39.8299,0.0841,
29,40556,1352924.2271,99.9837,1.2877,39.2584,0.0834,
30,40562,1353157.3873,100.0000,1.5707,35.4100,0.0747,
31,40570,1353375.1279,100.0000,1.3285,34.9155,0.0734,
32,40576,1353589.4585,100.0000,1.3710,37.4302,0.0795,
33,40584,1353808.8670,100.0000,1.4872,36.5129,0.0770,
34,40590,1354040.1251,100.0000,1.4855,36.6710,0.0771,
