Device Info:
Type:,Intel RealSense D435
HW Id:,0B07
Serial Num:,819112072284
Firmware Ver:,05.11.01.00

Streaming profile:
Stream,Format,Resolution,FPS
Depth,Z16,1280x720,30
Infrared 1,Y8,1280x720,30

Environment:
Plane-Fit_distance_mm,2608,167969
Ground-Truth_Distance_mm,2575

Sample Id,Frame #,Timestamp (ms),Fill-Rate %,Z Accuracy %,Plane Fit RMS Error %,Subpixel RMS Error (pixel),
0,35915,1207525.0343,99.9892,1.2066,37.1106,0.0785,
1,36205,1207742.3136,100.0000,1.1796,39.9042,0.0849,
2,36212,1207963.2687,100.0000,1.1152,40.4239,0.0858,
3,36218,1208194.0506,100.0000,1.2363,40.6093,0.0867,
4,36225,1208416.4359,99.9973,1.2578,40.1499,0.0855,
5,36232,1208638.9362,100.0000,1.3018,39.3686,0.0836,
6,36239,1208860.6156,100.0000,1.4160,38.7433,0.0822,
7,36245,1209075.4014,100.0000,1.2019,38.3677,0.0815,
8,36252,1209307.1625,100.0000,1.3684,38.3578,0.0811,
9,36259,1209525.9325,99.9647,1.2103,41.8916,0.0888,
10,36265,1209749.8968,99.9973,1.2356,38.0048,0.0805,
11,36272,1209972.8734,100.0000,1.2441,39.9515,0.0851,
12,36279,1210201.7863,99.9946,1.1254,38.7421,0.0826,
13,36286,1210443.9545,100.0000,1.3109,38.3602,0.0813,
14,36294,1210668.2275,99.9864,1.3151,41.0724,0.0872,
15,36300,1210894.5540,100.0000,1.1449,40.2585,0.0862,
16,36307,1211125.9857,100.0000,1.2128,37.7971,0.0805,
17,36312,1211382.3042,100.0000,1.0721,38.3601,0.0816,
18,36322,1211601.5386,100.0000,1.3879,39.1904,0.0825,
19,36328,1211828.0025,100.0000,1.2249,39.5355,0.0842,
20,36335,1212049.5017,100.0000,1.2079,39.4114,0.0843,
21,36341,1212274.8216,100.0000,1.2614,40.3209,0.0852,
22,36346,1212499.7467,99.9946,1.3828,39.2054,0.0826,
23,36353,1212715.3213,100.0000,1.2838,41.8064,0.0892,
24,36360,1212934.5199,100.0000,1.3539,40.6632,0.0865,
25,36365,1213149.9888,100.0000,1.2232,38.4054,0.0819,
26,36371,1213362.6035,100.0000,1.2495,39.0815,0.0826,
27,36378,1213579.0515,100.0000,1.2178,39.6856,0.0839,
28,36383,1213792.5759,99.9837,1.2019,41.4289,0.0885,
29,36391,1214018.9788,100.0000,1.4187,40.0502,0.0845,
30,36397,1214237.9097,100.0000,1.2953,39.3503,0.0832,
31,36403,1214463.1173,99.9864,1.2579,38.1779,0.0807,
32,36410,1214686.2900,100.0000,1.1460,40.2868,0.0856,
33,36416,1214911.4245,99.9837,1.2164,39.6355,0.0841,
34,36423,1215126.9749,100.0000,1.2191,37.6982,0.0797,
35,36430,1215346.1957,99.9837,1.0879,41.0124,0.0874,
36,36436,1215563.9790,100.0000,1.1189,40.5321,0.0861,
37,36442,1215780.7683,100.0000,1.3357,41.2178,0.0877,
38,36450,1215996.8941,100.0000,1.2021,39.6731,0.0842,
39,36456,1216214.2136,99.9919,1.2683,40.8108,0.0870,
40,36462,1216430.0285,100.0000,1.1315,39.9814,0.0852,
41,36469,1216646.3473,99.9973,1.4266,39.4583,0.0834,
42,36475,1216859.4582,100.0000,1.3958,38.3614,0.0815,
43,36481,1217074.3567,99.9973,1.1175,37.7873,0.0809,
44,36488,1217290.8044,100.0000,1.2522,38.4009,0.0810,
45,36494,1217503.9887,100.0000,1.1269,41.9067,0.0893,
46,36501,1217717.7878,99.9892,1.3138,40.0722,0.0845,
47,36507,1217937.1244,100.0000,1.2410,40.4577,0.0859,
48,36514,1218153.9241,100.0000,1.2799,37.8708,0.0804,
49,36520,1218369.2220,99.9756,1.2671,41.7803,0.0891,
50,36527,1218590.3815,99.9946,1.0361,40.1530,0.0854,
51,36533,1218813.3764,100.0000,1.2321,38.0972,0.0810,
52,36540,1219038.1461,100.0000,1.2789,38.0916,0.0809,
53,36547,1219261.6595,100.0000,1.2842,39.4612,0.0838,
54,36554,1219484.1418,100.0000,1.2885,37.6326,0.0797,
55,36560,1219707.3253,99.9973,1.2244,39.0000,0.0829,
56,36567,1219929.9733,100.0000,1.0721,40.2570,0.0863,
57,36574,1220150.0634,100.0000,1.2887,39.6247,0.0845,
58,36580,1220371.6360,99.9973,1.0541,40.0375,0.0856,
59,36587,1220596.3625,100.0000,1.1977,38.3740,0.0815,
60,36593,1220814.6602,100.0000,1.2104,40.4136,0.0858,
61,36601,1221071.0831,100.0000,1.0995,39.6441,0.0843,
62,36608,1221311.1613,100.0000,1.2255,40.2897,0.0862,
63,36615,1221523.7511,100.0000,1.1913,39.4572,0.0837,
64,36622,1221739.2368,99.9973,1.2400,37.5040,0.0796,
65,36628,1221980.7691,100.0000,1.4188,39.0792,0.0822,
66,36635,1222209.9074,99.9919,1.0822,39.1209,0.0831,
67,36643,1222427.2418,99.9946,1.2574,41.0364,0.0872,
68,36649,1222651.3740,100.0000,0.9886,41.9782,0.0896,
69,36655,1222867.3458,100.0000,1.2116,41.7767,0.0882,
70,36662,1223090.8362,99.9919,1.0924,39.1507,0.0833,
71,36668,1223303.6150,100.0000,1.3364,37.8681,0.0802,
72,36675,1223515.0525,100.0000,1.2680,38.8708,0.0826,
73,36682,1223727.3423,100.0000,1.3227,39.2629,0.0832,
74,36688,1223942.2851,99.9919,1.3904,39.8170,0.0852,
75,36694,1224155.5010,100.0000,1.1717,39.2480,0.0834,
76,36701,1224367.0688,99.9973,1.1405,37.5760,0.0795,
77,36706,1224584.3881,100.0000,1.2385,41.5243,0.0887,
78,36713,1224800.9855,100.0000,1.3202,40.5649,0.0863,
79,36719,1225025.0167,100.0000,1.2211,36.3616,0.0770,
80,36727,1225246.0484,100.0000,1.3245,38.2017,0.0813,
81,36733,1225462.4810,99.9973,1.1321,38.5072,0.0819,
82,36739,1225677.7958,100.0000,1.2270,39.3663,0.0830,
83,36746,1225895.1192,100.0000,1.2545,39.8061,0.0842,
84,36753,1226110.2604,100.0000,1.2051,40.2592,0.0860,
85,36759,1226327.5684,100.0000,1.2986,38.1833,0.0808,
86,36765,1226543.3380,100.0000,1.1509,39.0628,0.0836,
87,36772,1226759.7720,100.0000,1.2734,40.4471,0.0857,
88,36778,1226980.9982,100.0000,1.2832,40.1354,0.0852,
89,36784,1227204.4549,99.9919,1.0855,41.5172,0.0880,
90,36792,1227428.0545,100.0000,1.2093,40.7168,0.0866,
91,36798,1227652.9100,100.0000,1.1996,38.5853,0.0815,
92,36806,1227871.0742,100.0000,1.1290,38.8681,0.0825,
93,36812,1228093.8004,100.0000,1.0478,39.6099,0.0841,
94,36818,1228311.6272,100.0000,1.2252,38.5587,0.0820,
95,36825,1228521.2812,100.0000,1.2299,39.2193,0.0834,
96,36831,1228735.1389,99.9837,1.1661,40.4166,0.0859,
97,36838,1228949.1357,99.9973,1.2384,38.9803,0.0829,
98,36844,1229163.1114,99.9973,1.2482,41.3496,0.0879,
99,36851,1229379.8919,99.9946,1.1314,41.5535,0.0886,
100,36857,1229596.3216,100.0000,1.1908,39.8802,0.0846,
101,36864,1229826.8164,100.0000,1.2340,37.9392,0.0801,
102,36870,1230054.9388,99.9810,1.2503,38.9271,0.0823,
103,36877,1230287.5036,100.0000,1.1907,42.4298,0.0898,
104,36883,1230520.6221,100.0000,1.3247,37.8850,0.0808,
105,36891,1230742.6699,99.9892,1.3897,37.9596,0.0808,
106,36898,1230961.6358,99.9973,1.2817,39.4684,0.0832,
107,36904,1231185.1741,100.0000,1.1166,39.2664,0.0838,
108,36911,1231426.3648,99.9946,1.1730,40.0035,0.0847,
109,36919,1231641.1639,100.0000,0.9941,39.9921,0.0850,
110,36925,1231857.3316,100.0000,1.0299,40.3244,0.0862,
111,36932,1232078.3713,99.9892,1.3156,39.1067,0.0828,
112,36938,1232297.6131,100.0000,1.3254,38.9739,0.0826,
113,36945,1232515.0016,100.0000,1.2084,38.1641,0.0817,
114,36951,1232733.7143,100.0000,1.1951,38.6364,0.0821,
115,36958,1232951.6740,100.0000,1.2018,39.2861,0.0833,
116,36964,1233168.0915,99.9837,1.3398,39.2520,0.0825,
117,36970,1233395.0927,100.0000,1.2021,40.3216,0.0860,
118,36978,1233609.2567,100.0000,1.1690,40.1322,0.0856,
119,36984,1233826.2582,100.0000,1.2592,39.9921,0.0852,
120,36991,1234050.6650,100.0000,1.0984,39.3596,0.0841,
121,36997,1234274.9968,100.0000,1.2506,39.6463,0.0841,
122,37004,1234497.1909,100.0000,1.3769,40.4931,0.0857,
123,37010,1234713.7204,99.9919,1.1399,39.9714,0.0851,
124,37017,1234929.1330,100.0000,1.1165,39.0446,0.0838,
125,37023,1235144.8199,100.0000,1.0033,39.8006,0.0848,
126,37030,1235360.3993,100.0000,1.2185,39.6958,0.0845,
127,37037,1235577.6625,99.9973,1.4104,39.8220,0.0841,
128,37042,1235794.6473,100.0000,1.3422,38.5041,0.0816,
129,37049,1236010.4162,100.0000,1.1392,38.1021,0.0805,
130,37056,1236224.9321,100.0000,1.2479,40.3249,0.0856,
131,37063,1236438.1059,100.0000,1.3104,38.0501,0.0807,
132,37069,1236651.4509,99.9946,1.3263,38.4617,0.0815,
133,37075,1236867.8095,100.0000,1.3988,37.8756,0.0804,
134,37082,1237091.6232,99.9892,1.4203,40.1710,0.0847,
135,37088,1237319.9605,100.0000,1.2032,39.6152,0.0838,
136,37096,1237547.7362,100.0000,1.3129,41.4137,0.0878,
137,37103,1237772.4957,100.0000,1.4485,38.2300,0.0810,
138,37109,1237998.1811,100.0000,1.1780,40.9423,0.0873,
139,37116,1238214.3137,99.9946,1.2313,39.7693,0.0842,
140,37122,1238432.0784,100.0000,1.2898,39.1283,0.0837,
141,37129,1238652.8399,99.9810,1.3178,39.0391,0.0826,
142,37135,1238871.4447,99.9837,1.4920,38.3856,0.0809,
143,37142,1239089.6112,100.0000,1.1677,42.8217,0.0914,
144,37148,1239302.7866,100.0000,1.3492,39.2023,0.0830,
145,37155,1239516.2302,100.0000,1.3525,37.9979,0.0809,
146,37161,1239731.6979,100.0000,1.3306,39.1057,0.0831,
